consumer_id,time_slot,segment_no,quantity_mw,price_yuan_per_mwh
C1,1,1,2.64,1590.64
C1,1,2,2.64,1530.7
C1,1,3,2.64,1470.8
C1,1,4,2.64,1410.9
C1,1,5,2.64,1351.0
C1,1,6,2.64,1291.1
C1,1,7,2.64,1231.2
C1,1,8,2.64,1171.3
C1,1,9,2.64,1111.4
C1,1,10,2.64,1051.44
C1,2,1,2.59,1500.79
C1,2,2,2.59,1444.3
C1,2,3,2.59,1387.7
C1,2,4,2.59,1331.2
C1,2,5,2.59,1274.7
C1,2,6,2.59,1218.2
C1,2,7,2.59,1161.6
C1,2,8,2.59,1105.1
C1,2,9,2.59,1048.6
C1,2,10,2.59,992.05
C1,3,1,2.48,1437.34
C1,3,2,2.48,1383.2
C1,3,3,2.48,1329.1
C1,3,4,2.48,1274.9
C1,3,5,2.48,1220.8
C1,3,6,2.48,1166.7
C1,3,7,2.48,1112.5
C1,3,8,2.48,1058.4
C1,3,9,2.48,1004.2
C1,3,10,2.48,950.11
C1,4,1,2.52,1406.49
C1,4,2,2.52,1353.5
C1,4,3,2.52,1300.5
C1,4,4,2.52,1247.6
C1,4,5,2.52,1194.6
C1,4,6,2.52,1141.6
C1,4,7,2.52,1088.6
C1,4,8,2.52,1035.7
C1,4,9,2.52,982.7
C1,4,10,2.52,929.72
C1,5,1,2.44,1435.67
C1,5,2,2.44,1381.6
C1,5,3,2.44,1327.5
C1,5,4,2.44,1273.4
C1,5,5,2.44,1219.4
C1,5,6,2.44,1165.3
C1,5,7,2.44,1111.2
C1,5,8,2.44,1057.1
C1,5,9,2.44,1003.1
C1,5,10,2.44,949.0
C1,6,1,2.42,1408.81
C1,6,2,2.42,1355.7
C1,6,3,2.42,1302.7
C1,6,4,2.42,1249.6
C1,6,5,2.42,1196.6
C1,6,6,2.42,1143.5
C1,6,7,2.42,1090.4
C1,6,8,2.42,1037.4
C1,6,9,2.42,984.3
C1,6,10,2.42,931.25
C1,7,1,2.37,1374.54
C1,7,2,2.37,1322.8
C1,7,3,2.37,1271.0
C1,7,4,2.37,1219.2
C1,7,5,2.37,1167.5
C1,7,6,2.37,1115.7
C1,7,7,2.37,1063.9
C1,7,8,2.37,1012.1
C1,7,9,2.37,960.4
C1,7,10,2.37,908.59
C1,8,1,2.32,1366.76
C1,8,2,2.32,1315.3
C1,8,3,2.32,1263.8
C1,8,4,2.32,1212.3
C1,8,5,2.32,1160.8
C1,8,6,2.32,1109.4
C1,8,7,2.32,1057.9
C1,8,8,2.32,1006.4
C1,8,9,2.32,954.9
C1,8,10,2.32,903.45
C1,9,1,2.22,1389.36
C1,9,2,2.22,1337.0
C1,9,3,2.22,1284.7
C1,9,4,2.22,1232.4
C1,9,5,2.22,1180.0
C1,9,6,2.22,1127.7
C1,9,7,2.22,1075.4
C1,9,8,2.22,1023.1
C1,9,9,2.22,970.7
C1,9,10,2.22,918.39
C1,10,1,2.22,1383.34
C1,10,2,2.22,1331.2
C1,10,3,2.22,1279.1
