consumer_id,time_slot,segment_no,quantity_mw,price_yuan_per_mwh
C1,1,1,2.66,1562.67
C1,1,2,2.66,1503.8
C1,1,3,2.66,1445.0
C1,1,4,2.66,1386.1
C1,1,5,2.66,1327.2
C1,1,6,2.66,1268.4
C1,1,7,2.66,1209.5
C1,1,8,2.66,1150.7
C1,1,9,2.66,1091.8
C1,1,10,2.66,1032.95
C1,2,1,2.70,1496.9
C1,2,2,2.70,1440.5
C1,2,3,2.70,1384.1
C1,2,4,2.70,1327.8
C1,2,5,2.70,1271.4
C1,2,6,2.70,1215.0
C1,2,7,2.70,1158.6
C1,2,8,2.70,1102.2
C1,2,9,2.70,1045.9
C1,2,10,2.70,989.48
C1,3,1,2.62,1442.16
C1,3,2,2.62,1387.8
C1,3,3,2.62,1333.5
C1,3,4,2.62,1279.2
C1,3,5,2.62,1224.9
C1,3,6,2.62,1170.6
C1,3,7,2.62,1116.2
C1,3,8,2.62,1061.9
C1,3,9,2.62,1007.6
C1,3,10,2.62,953.29
C1,4,1,2.53,1389.54
C1,4,2,2.53,1337.2
C1,4,3,2.53,1284.9
C1,4,4,2.53,1232.5
C1,4,5,2.53,1180.2
C1,4,6,2.53,1127.9
C1,4,7,2.53,1075.5
C1,4,8,2.53,1023.2
C1,4,9,2.53,970.8
C1,4,10,2.53,918.51
C1,5,1,2.51,1440.77
C1,5,2,2.51,1386.5
C1,5,3,2.51,1332.2
C1,5,4,2.51,1278.0
C1,5,5,2.51,1223.7
C1,5,6,2.51,1169.4
C1,5,7,2.51,1115.2
C1,5,8,2.51,1060.9
C1,5,9,2.51,1006.6
C1,5,10,2.51,952.37
C1,6,1,2.56,1405.29
C1,6,2,2.56,1352.4
C1,6,3,2.56,1299.4
C1,6,4,2.56,1246.5
C1,6,5,2.56,1193.6
C1,6,6,2.56,1140.6
C1,6,7,2.56,1087.7
C1,6,8,2.56,1034.8
C1,6,9,2.56,981.9
C1,6,10,2.56,928.92
C1,7,1,2.53,1389.45
C1,7,2,2.53,1337.1
C1,7,3,2.53,1284.8
C1,7,4,2.53,1232.5
C1,7,5,2.53,1180.1
C1,7,6,2.53,1127.8
C1,7,7,2.53,1075.5
C1,7,8,2.53,1023.1
C1,7,9,2.53,970.8
C1,7,10,2.53,918.45
C1,8,1,2.48,1371.94
C1,8,2,2.48,1320.3
C1,8,3,2.48,1268.6
C1,8,4,2.48,1216.9
C1,8,5,2.48,1165.2
C1,8,6,2.48,1113.6
C1,8,7,2.48,1061.9
C1,8,8,2.48,1010.2
C1,8,9,2.48,958.6
C1,8,10,2.48,906.88
C1,9,1,2.42,1365.46
C1,9,2,2.42,1314.0
C1,9,3,2.42,1262.6
C1,9,4,2.42,1211.2
C1,9,5,2.42,1159.7
C1,9,6,2.42,1108.3
C1,9,7,2.42,1056.9
C1,9,8,2.42,1005.5
