consumer_id,time_slot,segment_no,quantity_mw,price_yuan_per_mwh
C2,1,1,2.44,1289.5
C2,1,2,2.44,1240.9
C2,1,3,2.44,1192.4
C2,1,4,2.44,1143.8
C2,1,5,2.44,1095.2
C2,1,6,2.44,1046.7
C2,1,7,2.44,998.1
C2,1,8,2.44,949.5
C2,1,9,2.44,900.9
C2,1,10,2.44,852.38
C2,2,1,2.47,1280.15
C2,2,2,2.47,1231.9
C2,2,3,2.47,1183.7
C2,2,4,2.47,1135.5
C2,2,5,2.47,1087.3
C2,2,6,2.47,1039.1
C2,2,7,2.47,990.9
C2,2,8,2.47,942.6
C2,2,9,2.47,894.4
C2,2,10,2.47,846.2
C2,3,1,2.45,1271.16
C2,3,2,2.45,1223.3
C2,3,3,2.45,1175.4
C2,3,4,2.45,1127.5
C2,3,5,2.45,1079.6
C2,3,6,2.45,1031.8
C2,3,7,2.45,983.9
C2,3,8,2.45,936.0
C2,3,9,2.45,888.1
C2,3,10,2.45,840.26
C2,4,1,2.41,1244.02
C2,4,2,2.41,1197.2
C2,4,3,2.41,1150.3
C2,4,4,2.41,1103.5
C2,4,5,2.41,1056.6
C2,4,6,2.41,1009.7
C2,4,7,2.41,962.9
C2,4,8,2.41,916.0
C2,4,9,2.41,869.2
C2,4,10,2.41,822.32
C2,5,1,2.34,1280.15
C2,5,2,2.34,1231.9
C2,5,3,2.34,1183.7
C2,5,4,2.34,1135.5
C2,5,5,2.34,1087.3
C2,5,6,2.34,1039.1
C2,5,7,2.34,990.9
C2,5,8,2.34,942.6
C2,5,9,2.34,894.4
C2,5,10,2.34,846.2
C2,6,1,2.25,1215.31
C2,6,2,2.25,1169.5
C2,6,3,2.25,1123.8
C2,6,4,2.25,1078.0
C2,6,5,2.25,1032.2
C2,6,6,2.25,986.4
C2,6,7,2.25,940.7
C2,6,8,2.25,894.9
C2,6,9,2.25,849.1
C2,6,10,2.25,803.34
C2,7,1,2.28,1204.0
C2,7,2,2.28,1158.7
C2,7,3,2.28,1113.3
C2,7,4,2.28,1068.0
C2,7,5,2.28,1022.6
C2,7,6,2.28,977.3
C2,7,7,2.28,931.9
C2,7,8,2.28,886.6
C2,7,9,2.28,841.2
C2,7,10,2.28,795.87
C2,8,1,2.19,1155.0
C2,8,2,2.19,1111.5
C2,8,3,2.19,1068.0
C2,8,4,2.19,1024.5
C2,8,5,2.19,981.0
C2,8,6,2.19,937.5
C2,8,7,2.19,894.0
C2,8,8,2.19,850.5
C2,8,9,2.19,807.0
C2,8,10,2.19,763.48
C2,9,1,2.14,1179.37
C2,9,2,2.14,1134.9
C2,9,3,2.14,1090.5
C2,9,4,2.14,1046.1
C2,9,5,2.14,1001.7
C2,9,6,2.14,957.3
C2,9,7,2.14,912.8
C2,9,8,2.14,868.4
C2,9,9,2.14,824.0
C2,9,10,2.14,779.58
C2,10,1,2.18,1137.22
C2,10,2,2.18,1094.4
C2,10,3,2.18,1051.6
C2,10,4,2.18,1008.7
C2,10,5,2.18,965.9
C2,10,6,2.18,923.1
C2,10,7,2.18,880.2
