generator_id,time_slot,segment_no,quantity_mw,price_yuan_per_mwh
G1,1,1,1.33,405.1
G1,1,2,1.33,488.7
G1,1,3,1.33,572.3
G1,1,4,1.33,655.9
G1,1,5,1.33,739.5
G1,1,6,1.33,823.1
G1,1,7,1.33,906.7
G1,1,8,1.33,990.3
G1,1,9,1.33,1073.9
G1,1,10,3.23,1157.55
G1,2,1,1.34,411.9
G1,2,2,1.34,496.9
G1,2,3,1.34,581.9
G1,2,4,1.34,666.8
G1,2,5,1.34,751.8
G1,2,6,1.34,836.8
G1,2,7,1.34,921.8
G1,2,8,1.34,1006.8
G1,2,9,1.34,1091.8
G1,2,10,2.34,1176.78
G1,3,1,1.29,375.1
G1,3,2,1.29,452.4
G1,3,3,1.29,529.8
G1,3,4,1.29,607.2
G1,3,5,1.29,684.6
G1,3,6,1.29,762.0
G1,3,7,1.29,839.4
G1,3,8,1.29,916.8
G1,3,9,1.29,994.2
G1,3,10,2.49,1071.59
G1,4,1,1.23,364.3
G1,4,2,1.23,439.5
G1,4,3,1.23,514.7
G1,4,4,1.23,589.9
G1,4,5,1.23,665.1
G1,4,6,1.23,740.2
G1,4,7,1.23,815.4
G1,4,8,1.23,890.6
G1,4,9,1.23,965.8
G1,4,10,3.13,1040.97
G1,5,1,1.16,372.6
G1,5,2,1.16,449.5
G1,5,3,1.16,526.4
G1,5,4,1.16,603.3
G1,5,5,1.16,680.2
G1,5,6,1.16,757.1
G1,5,7,1.16,833.9
G1,5,8,1.16,910.8
G1,5,9,1.16,987.7
G1,5,10,4.26,1064.61
G1,6,1,1.19,362.1
G1,6,2,1.19,436.9
G1,6,3,1.19,511.6
G1,6,4,1.19,586.3
G1,6,5,1.19,661.0
G1,6,6,1.19,735.8
G1,6,7,1.19,810.5
G1,6,8,1.19,885.2
G1,6,9,1.19,959.9
G1,6,10,3.39,1034.66
G1,7,1,1.11,353.6
G1,7,2,1.11,426.5
G1,7,3,1.11,499.5
G1,7,4,1.11,572.5
G1,7,5,1.11,645.4
G1,7,6,1.11,718.4
G1,7,7,1.11,791.3
G1,7,8,1.11,864.3
G1,7,9,1.11,937.3
G1,7,10,4.41,1010.23
G1,8,1,1.07,351.8
G1,8,2,1.07,424.4
G1,8,3,1.07,497.0
G1,8,4,1.07,569.6
G1,8,5,1.07,642.2
G1,8,6,1.07,714.8
G1,8,7,1.07,787.4
G1,8,8,1.07,860.0
G1,8,9,1.07,932.6
G1,8,10,3.67,1005.15
G1,9,1,1.03,350.8
G1,9,2,1.03,423.2
G1,9,3,1.03,495.5
G1,9,4,1.03,567.9
G1,9,5,1.03,640.3
