consumer_id,time_slot,segment_no,quantity_mw,price_yuan_per_mwh
C2,1,1,2.88,1251.99
C2,1,2,2.88,1204.8
C2,1,3,2.88,1157.7
C2,1,4,2.88,1110.5
C2,1,5,2.88,1063.4
C2,1,6,2.88,1016.2
C2,1,7,2.88,969.1
C2,1,8,2.88,921.9
C2,1,9,2.88,874.7
C2,1,10,2.88,827.58
C2,2,1,2.81,1250.5
C2,2,2,2.81,1203.4
C2,2,3,2.81,1156.3
C2,2,4,2.81,1109.2
C2,2,5,2.81,1062.1
C2,2,6,2.81,1015.0
C2,2,7,2.81,967.9
C2,2,8,2.81,920.8
C2,2,9,2.81,873.7
C2,2,10,2.81,826.61
C2,3,1,2.71,1196.41
C2,3,2,2.71,1151.3
C2,3,3,2.71,1106.3
C2,3,4,2.71,1061.2
C2,3,5,2.71,1016.2
C2,3,6,2.71,971.1
C2,3,7,2.71,926.0
C2,3,8,2.71,881.0
C2,3,9,2.71,835.9
C2,3,10,2.71,790.85
C2,4,1,2.65,1124.99
C2,4,2,2.65,1082.6
C2,4,3,2.65,1040.2
C2,4,4,2.65,997.9
C2,4,5,2.65,955.5
C2,4,6,2.65,913.1
C2,4,7,2.65,870.8
C2,4,8,2.65,828.4
C2,4,9,2.65,786.0
C2,4,10,2.65,743.64
C2,5,1,2.59,1211.97
C2,5,2,2.59,1166.3
C2,5,3,2.59,1120.7
C2,5,4,2.59,1075.0
C2,5,5,2.59,1029.4
C2,5,6,2.59,983.7
C2,5,7,2.59,938.1
C2,5,8,2.59,892.4
C2,5,9,2.59,846.8
C2,5,10,2.59,801.13
C2,6,1,2.54,1152.6
C2,6,2,2.54,1109.2
C2,6,3,2.54,1065.8
C2,6,4,2.54,1022.4
C2,6,5,2.54,978.9
C2,6,6,2.54,935.5
C2,6,7,2.54,892.1
C2,6,8,2.54,848.7
C2,6,9,2.54,805.3
C2,6,10,2.54,761.88
C2,7,1,2.61,1127.12
C2,7,2,2.61,1084.7
C2,7,3,2.61,1042.2
C2,7,4,2.61,999.8
C2,7,5,2.61,957.3
C2,7,6,2.61,914.9
C2,7,7,2.61,872.4
C2,7,8,2.61,830.0
C2,7,9,2.61,787.5
C2,7,10,2.61,745.05
C2,8,1,2.62,1087.57
C2,8,2,2.62,1046.6
C2,8,3,2.62,1005.6
C2,8,4,2.62,964.7
C2,8,5,2.62,923.7
C2,8,6,2.62,882.8
C2,8,7,2.62,841.8
C2,8,8,2.62,800.8
C2,8,9,2.62,759.9
C2,8,10,2.62,718.9
C2,9,1,2.54,1111.47
C2,9,2,2.54,1069.6
C2,9,3,2.54,1027.7
C2,9,4,2.54,985.9
C2,9,5,2.54,944.0
C2,9,6,2.54,902.2
C2,9,7,2.54,860.3
C2,9,8,2.54,818.4
C2,9,9,2.54,776.6
C2,9,10,2.54,734.7
C2,10,1,2.51,1194.09
C2,10,2,2.51,1149.1
C2,10,3,2.51,1104.1
C2,10,4,2.51,1059.2
C2,10,5,2.51,1014.2
C2,10,6,2.51,969.2
C2,10,7,2.51,924.2
C2,10,8,2.51,879.3
C2,10,9,2.51,834.3
C2,10,10,2.51,789.32
C2,11,1,2.54,1099.98
C2,11,2,2.54,1058.6
C2,11,3,2.54,1017.1
C2,11,4,2.54,975.7
C2,11,5,2.54,934.3
C2,11,6,2.54,892.8
C2,11,7,2.54,851.4
C2,11,8,2.54,810.0
C2,11,9,2.54,768.5
C2,11,10,2.54,727.11
C2,12,1,2.50,1088.4
C2,12,2,2.50,1047.4
C2,12,3,2.50,1006.4
C2,12,4,2.50,965.4
C2,12,5,2.50,924.4
C2,12,6,2.50,883.4
C2,12,7,2.50,842.4
C2,12,8,2.50,801.4
C2,12,9,2.50,760.4
C2,12,10,2.50,719.45
C2,13,1,2.62,1077.84
C2,13,2,2.62,1037.2
C2,13,3,2.62,996.6
C2,13,4,2.62,956.1
C2,13,5,2.62,915.5
C2,13,6,2.62,874.9
C2,13,7,2.62,834.3
C2,13,8,2.62,793.7
C2,13,9,2.62,753.1
C2,13,10,2.62,712.47
C2,14,1,2.64,1153.43
C2,14,2,2.64,1110.0
C2,14,3,2.64,1066.5
C2,14,4,2.64,1023.1
C2,14,5,2.64,979.7
C2,14,6,2.64,936.2
C2,14,7,2.64,892.8
C2,14,8,2.64,849.3
C2,14,9,2.64,805.9
C2,14,10,2.64,762.44
C2,15,1,2.67,1157.5
C2,15,2,2.67,1113.9
C2,15,3,2.67,1070.3
C2,15,4,2.67,1026.7
C2,15,5,2.67,983.1
C2,15,6,2.67,939.5
C2,15,7,2.67,895.9
C2,15,8,2.67,852.3
C2,15,9,2.67,808.7
C2,15,10,2.67,765.13
C2,16,1,2.56,1070.52
C2,16,2,2.56,1030.2
C2,16,3,2.56,989.9
C2,16,4,2.56,949.6
C2,16,5,2.56,909.2
C2,16,6,2.56,868.9
C2,16,7,2.56,828.6
C2,16,8,2.56,788.3
C2,16,9,2.56,748.0
C2,16,10,2.56,707.64
C2,17,1,2.60,1090.53
C2,17,2,2.60,1049.5
C2,17,3,2.60,1008.4
C2,17,4,2.60,967.3
C2,17,5,2.60,926.2
C2,17,6,2.60,885.2
C2,17,7,2.60,844.1
C2,17,8,2.60,803.0
C2,17,9,2.60,761.9
C2,17,10,2.60,720.86
C2,18,1,2.69,1077.84
C2,18,2,2.69,1037.2
C2,18,3,2.69,996.6
C2,18,4,2.69,956.1
C2,18,5,2.69,915.5
C2,18,6,2.69,874.9
C2,18,7,2.69,834.3
C2,18,8,2.69,793.7
C2,18,9,2.69,753.1
C2,18,10,2.69,712.47
C2,19,1,2.82,1373.43
C2,19,2,2.82,1321.7
C2,19,3,2.82,1270.0
C2,19,4,2.82,1218.2
C2,19,5,2.82,1166.5
C2,19,6,2.82,1114.8
