consumer_id,time_slot,segment_no,quantity_mw,price_yuan_per_mwh
C1,1,1,2.44,1554.7
C1,1,2,2.44,1496.1
C1,1,3,2.44,1437.6
C1,1,4,2.44,1379.0
C1,1,5,2.44,1320.5
C1,1,6,2.44,1261.9
C1,1,7,2.44,1203.4
C1,1,8,2.44,1144.8
C1,1,9,2.44,1086.2
C1,1,10,2.44,1027.68
C1,2,1,2.44,1482.91
C1,2,2,2.44,1427.1
C1,2,3,2.44,1371.2
C1,2,4,2.44,1315.4
C1,2,5,2.44,1259.5
C1,2,6,2.44,1203.6
C1,2,7,2.44,1147.8
C1,2,8,2.44,1091.9
C1,2,9,2.44,1036.1
C1,2,10,2.44,980.23
C1,3,1,2.42,1431.23
C1,3,2,2.42,1377.3
C1,3,3,2.42,1323.4
C1,3,4,2.42,1269.5
C1,3,5,2.42,1215.6
C1,3,6,2.42,1161.7
C1,3,7,2.42,1107.8
C1,3,8,2.42,1053.9
C1,3,9,2.42,1000.0
C1,3,10,2.42,946.06
C1,4,1,2.40,1378.61
C1,4,2,2.40,1326.7
C1,4,3,2.40,1274.8
C1,4,4,2.40,1222.8
C1,4,5,2.40,1170.9
C1,4,6,2.40,1119.0
C1,4,7,2.40,1067.1
C1,4,8,2.40,1015.1
C1,4,9,2.40,963.2
C1,4,10,2.40,911.29
C1,5,1,2.36,1419.28
C1,5,2,2.36,1365.8
C1,5,3,2.36,1312.4
C1,5,4,2.36,1258.9
C1,5,5,2.36,1205.5
C1,5,6,2.36,1152.0
C1,5,7,2.36,1098.5
C1,5,8,2.36,1045.1
C1,5,9,2.36,991.6
C1,5,10,2.36,938.17
C1,6,1,2.32,1402.7
C1,6,2,2.32,1349.9
C1,6,3,2.32,1297.0
C1,6,4,2.32,1244.2
C1,6,5,2.32,1191.4
C1,6,6,2.32,1138.5
C1,6,7,2.32,1085.7
C1,6,8,2.32,1032.9
C1,6,9,2.32,980.0
C1,6,10,2.32,927.21
C1,7,1,2.27,1368.79
C1,7,2,2.27,1317.2
C1,7,3,2.27,1265.7
C1,7,4,2.27,1214.1
C1,7,5,2.27,1162.6
C1,7,6,2.27,1111.0
C1,7,7,2.27,1059.5
C1,7,8,2.27,1007.9
C1,7,9,2.27,956.4
C1,7,10,2.27,904.8
C1,8,1,2.28,1346.75
C1,8,2,2.28,1296.0
C1,8,3,2.28,1245.3
C1,8,4,2.28,1194.6
C1,8,5,2.28,1143.8
C1,8,6,2.28,1093.1
C1,8,7,2.28,1042.4
C1,8,8,2.28,991.7
C1,8,9,2.28,940.9
C1,8,10,2.28,890.22
C1,9,1,2.27,1394.45
C1,9,2,2.27,1341.9
C1,9,3,2.27,1289.4
C1,9,4,2.27,1236.9
C1,9,5,2.27,1184.4
C1,9,6,2.27,1131.8
