generator_id,time_slot,segment_no,quantity_mw,price_yuan_per_mwh
G2,1,1,1.00,331.0
G2,1,2,1.00,399.3
G2,1,3,1.00,467.6
G2,1,4,1.00,535.9
G2,1,5,1.00,604.2
G2,1,6,1.00,672.5
G2,1,7,1.00,740.8
G2,1,8,1.00,809.2
G2,1,9,1.00,877.5
G2,1,10,4.20,945.76
G2,2,1,0.88,328.3
G2,2,2,0.88,396.1
G2,2,3,0.88,463.8
G2,2,4,0.88,531.6
G2,2,5,0.88,599.3
G2,2,6,0.88,667.1
G2,2,7,0.88,734.8
G2,2,8,0.88,802.6
G2,2,9,0.88,870.3
G2,2,10,4.08,938.1
G2,3,1,0.84,319.8
G2,3,2,0.84,385.8
G2,3,3,0.84,451.8
G2,3,4,0.84,517.8
G2,3,5,0.84,583.8
G2,3,6,0.84,649.8
G2,3,7,0.84,715.8
G2,3,8,0.84,781.8
G2,3,9,0.84,847.7
G2,3,10,4.64,913.74
G2,4,1,0.78,309.5
G2,4,2,0.78,373.4
G2,4,3,0.78,437.3
G2,4,4,0.78,501.1
G2,4,5,0.78,565.0
G2,4,6,0.78,628.9
G2,4,7,0.78,692.7
G2,4,8,0.78,756.6
G2,4,9,0.78,820.5
G2,4,10,4.28,884.34
G2,5,1,0.78,328.8
G2,5,2,0.78,396.7
G2,5,3,0.78,464.6
G2,5,4,0.78,532.4
G2,5,5,0.78,600.3
G2,5,6,0.78,668.1
G2,5,7,0.78,736.0
G2,5,8,0.78,803.9
G2,5,9,0.78,871.7
G2,5,10,4.28,939.57
G2,6,1,0.74,319.6
G2,6,2,0.74,385.5
G2,6,3,0.74,451.4
G2,6,4,0.74,517.4
G2,6,5,0.74,583.3
G2,6,6,0.74,649.2
G2,6,7,0.74,715.2
G2,6,8,0.74,781.1
G2,6,9,0.74,847.1
G2,6,10,3.64,913.0
G2,7,1,0.72,307.8
G2,7,2,0.72,371.4
G2,7,3,0.72,434.9
G2,7,4,0.72,498.4
G2,7,5,0.72,561.9
G2,7,6,0.72,625.5
G2,7,7,0.72,689.0
G2,7,8,0.72,752.5
G2,7,9,0.72,816.0
G2,7,10,3.72,879.57
G2,8,1,0.69,304.4
G2,8,2,0.69,367.2
G2,8,3,0.69,430.0
G2,8,4,0.69,492.8
G2,8,5,0.69,555.6
G2,8,6,0.69,618.4
G2,8,7,0.69,681.2
G2,8,8,0.69,744.0
G2,8,9,0.69,806.8
G2,8,10,3.29,869.59
G2,9,1,0.69,309.6
G2,9,2,0.69,373.5
G2,9,3,0.69,437.4
G2,9,4,0.69,501.3
G2,9,5,0.69,565.2
G2,9,6,0.69,629.0
G2,9,7,0.69,692.9
G2,9,8,0.69,756.8
G2,9,9,0.69,820.7
G2,9,10,3.39,884.59
G2,10,1,0.69,306.1
G2,10,2,0.69,369.3
G2,10,3,0.69,432.4
G2,10,4,0.69,495.6
G2,10,5,0.69,558.8
G2,10,6,0.69,621.9
G2,10,7,0.69,685.1
G2,10,8,0.69,748.3
G2,10,9,0.69,811.4
G2,10,10,3.99,874.61
G2,11,1,0.70,302.6
G2,11,2,0.70,365.0
G2,11,3,0.70,427.5
G2,11,4,0.70,489.9
G2,11,5,0.70,552.4
G2,11,6,0.70,614.8
G2,11,7,0.70,677.2
G2,11,8,0.70,739.7
G2,11,9,0.70,802.1
G2,11,10,3.50,864.57
G2,12,1,0.65,299.1
G2,12,2,0.65,360.8
G2,12,3,0.65,422.5
G2,12,4,0.65,484.3
G2,12,5,0.65,546.0
G2,12,6,0.65,607.7
G2,12,7,0.65,669.4
G2,12,8,0.65,731.1
G2,12,9,0.65,792.9
G2,12,10,3.75,854.59
G2,13,1,0.68,300.0
G2,13,2,0.68,361.9
G2,13,3,0.68,423.8
G2,13,4,0.68,485.8
G2,13,5,0.68,547.7
G2,13,6,0.68,609.6
G2,13,7,0.68,671.5
G2,13,8,0.68,733.4
G2,13,9,0.68,795.3
G2,13,10,4.08,857.22
G2,14,1,0.68,300.0
G2,14,2,0.68,361.9
G2,14,3,0.68,423.8
G2,14,4,0.68,485.7
G2,14,5,0.68,547.6
G2,14,6,0.68,609.5
G2,14,7,0.68,671.4
G2,14,8,0.68,733.3
G2,14,9,0.68,795.3
G2,14,10,3.78,857.16
G2,15,1,0.61,294.5
G2,15,2,0.61,355.2
G2,15,3,0.61,416.0
G2,15,4,0.61,476.8
G2,15,5,0.61,537.5
G2,15,6,0.61,598.3
G2,15,7,0.61,659.1
G2,15,8,0.61,719.8
G2,15,9,0.61,780.6
G2,15,10,4.11,841.36
G2,16,1,0.61,296.7
G2,16,2,0.61,357.9
G2,16,3,0.61,419.1
G2,16,4,0.61,480.3
G2,16,5,0.61,541.6
G2,16,6,0.61,602.8
G2,16,7,0.61,664.0
G2,16,8,0.61,725.2
G2,16,9,0.61,786.4
G2,16,10,4.01,847.67
G2,17,1,0.61,295.5
G2,17,2,0.61,356.5
G2,17,3,0.61,417.4
G2,17,4,0.61,478.4
G2,17,5,0.61,539.4
G2,17,6,0.61,600.3
