generator_id,time_slot,segment_no,quantity_mw,price_yuan_per_mwh
G2,1,1,1.03,322.9
G2,1,2,1.03,389.5
G2,1,3,1.03,456.2
G2,1,4,1.03,522.8
G2,1,5,1.03,589.4
G2,1,6,1.03,656.1
G2,1,7,1.03,722.7
G2,1,8,1.03,789.3
G2,1,9,1.03,856.0
G2,1,10,7.93,922.61
G2,2,1,1.00,310.7
G2,2,2,1.00,374.9
G2,2,3,1.00,439.0
G2,2,4,1.00,503.1
G2,2,5,1.00,567.2
G2,2,6,1.00,631.4
G2,2,7,1.00,695.5
G2,2,8,1.00,759.6
G2,2,9,1.00,823.7
G2,2,10,7.20,887.84
G2,3,1,0.96,315.0
G2,3,2,0.96,380.0
G2,3,3,0.96,445.0
G2,3,4,0.96,510.0
G2,3,5,0.96,575.0
G2,3,6,0.96,640.0
G2,3,7,0.96,705.0
G2,3,8,0.96,770.0
G2,3,9,0.96,835.0
G2,3,10,8.06,900.02
G2,4,1,0.97,290.5
G2,4,2,0.97,350.5
G2,4,3,0.97,410.4
G2,4,4,0.97,470.4
G2,4,5,0.97,530.3
G2,4,6,0.97,590.3
G2,4,7,0.97,650.2
G2,4,8,0.97,710.2
G2,4,9,0.97,770.1
G2,4,10,7.67,830.1
G2,5,1,0.91,302.2
G2,5,2,0.91,364.5
G2,5,3,0.91,426.9
G2,5,4,0.91,489.3
G2,5,5,0.91,551.6
G2,5,6,0.91,614.0
G2,5,7,0.91,676.3
G2,5,8,0.91,738.7
G2,5,9,0.91,801.0
G2,5,10,6.21,863.4
G2,6,1,0.95,293.5
G2,6,2,0.95,354.1
G2,6,3,0.95,414.6
G2,6,4,0.95,475.2
G2,6,5,0.95,535.8
G2,6,6,0.95,596.3
G2,6,7,0.95,656.9
G2,6,8,0.95,717.5
G2,6,9,0.95,778.0
G2,6,10,6.25,838.61
G2,7,1,0.94,292.4
G2,7,2,0.94,352.7
G2,7,3,0.94,413.0
G2,7,4,0.94,473.3
G2,7,5,0.94,533.7
G2,7,6,0.94,594.0
G2,7,7,0.94,654.3
G2,7,8,0.94,714.6
G2,7,9,0.94,775.0
G2,7,10,5.64,835.3
G2,8,1,0.90,294.9
G2,8,2,0.90,355.7
G2,8,3,0.90,416.6
G2,8,4,0.90,477.4
G2,8,5,0.90,538.3
G2,8,6,0.90,599.1
G2,8,7,0.90,660.0
G2,8,8,0.90,720.8
G2,8,9,0.90,781.7
G2,8,10,5.70,842.52
G2,9,1,0.84,290.6
G2,9,2,0.84,350.5
G2,9,3,0.84,410.5
G2,9,4,0.84,470.4
G2,9,5,0.84,530.4
G2,9,6,0.84,590.3
G2,9,7,0.84,650.3
G2,9,8,0.84,710.2
G2,9,9,0.84,770.2
G2,9,10,5.54,830.16
G2,10,1,0.81,289.3
G2,10,2,0.81,349.0
G2,10,3,0.81,408.7
G2,10,4,0.81,468.4
G2,10,5,0.81,528.1
G2,10,6,0.81,587.8
G2,10,7,0.81,647.5
G2,10,8,0.81,707.2
G2,10,9,0.81,766.8
G2,10,10,5.41,826.54
G2,11,1,0.75,282.6
G2,11,2,0.75,340.9
G2,11,3,0.75,399.2
G2,11,4,0.75,457.5
G2,11,5,0.75,515.8
G2,11,6,0.75,574.1
G2,11,7,0.75,632.4
G2,11,8,0.75,690.8
G2,11,9,0.75,749.1
G2,11,10,5.35,807.38
G2,12,1,0.83,284.0
G2,12,2,0.83,342.6
G2,12,3,0.83,401.2
G2,12,4,0.83,459.8
G2,12,5,0.83,518.4
G2,12,6,0.83,577.0
G2,12,7,0.83,635.6
G2,12,8,0.83,694.2
G2,12,9,0.83,752.8
G2,12,10,4.83,811.36
G2,13,1,0.72,278.6
G2,13,2,0.72,336.1
G2,13,3,0.72,393.5
G2,13,4,0.72,451.0
G2,13,5,0.72,508.5
G2,13,6,0.72,566.0
G2,13,7,0.72,623.5
G2,13,8,0.72,681.0
G2,13,9,0.72,738.4
G2,13,10,5.42,795.93
G2,14,1,0.75,280.4
G2,14,2,0.75,338.3
G2,14,3,0.75,396.2
