generator_id,time_slot,segment_no,quantity_mw,price_yuan_per_mwh
G2,1,1,0.84,345.8
G2,1,2,0.84,417.2
G2,1,3,0.84,488.5
G2,1,4,0.84,559.9
G2,1,5,0.84,631.3
G2,1,6,0.84,702.6
G2,1,7,0.84,774.0
G2,1,8,0.84,845.3
G2,1,9,0.84,916.7
G2,1,10,4.64,988.07
G2,2,1,0.76,334.0
G2,2,2,0.76,402.9
G2,2,3,0.76,471.9
G2,2,4,0.76,540.8
G2,2,5,0.76,609.7
G2,2,6,0.76,678.6
G2,2,7,0.76,747.6
G2,2,8,0.76,816.5
G2,2,9,0.76,885.4
G2,2,10,4.86,954.33
G2,3,1,0.84,330.6
G2,3,2,0.84,398.9
G2,3,3,0.84,467.1
G2,3,4,0.84,535.3
G2,3,5,0.84,603.5
G2,3,6,0.84,671.8
G2,3,7,0.84,740.0
G2,3,8,0.84,808.2
G2,3,9,0.84,876.4
G2,3,10,4.04,944.66
G2,4,1,0.76,303.8
G2,4,2,0.76,366.5
G2,4,3,0.76,429.2
G2,4,4,0.76,491.9
G2,4,5,0.76,554.6
G2,4,6,0.76,617.3
G2,4,7,0.76,680.0
G2,4,8,0.76,742.7
G2,4,9,0.76,805.4
G2,4,10,4.56,868.12
G2,5,1,0.69,323.0
G2,5,2,0.69,389.6
G2,5,3,0.69,456.2
G2,5,4,0.69,522.9
G2,5,5,0.69,589.5
G2,5,6,0.69,656.2
G2,5,7,0.69,722.8
G2,5,8,0.69,789.5
G2,5,9,0.69,856.1
G2,5,10,4.79,922.74
G2,6,1,0.72,316.2
G2,6,2,0.72,381.4
G2,6,3,0.72,446.6
G2,6,4,0.72,511.9
G2,6,5,0.72,577.1
G2,6,6,0.72,642.4
G2,6,7,0.72,707.6
G2,6,8,0.72,772.8
G2,6,9,0.72,838.1
G2,6,10,4.82,903.33
G2,7,1,0.70,312.4
G2,7,2,0.70,376.9
G2,7,3,0.70,441.4
G2,7,4,0.70,505.8
G2,7,5,0.70,570.3
G2,7,6,0.70,634.8
G2,7,7,0.70,699.3
G2,7,8,0.70,763.7
G2,7,9,0.70,828.2
