generator_id,time_slot,segment_no,quantity_mw,price_yuan_per_mwh
G2,1,1,1.18,362.9
G2,1,2,1.18,437.8
G2,1,3,1.18,512.7
G2,1,4,1.18,587.6
G2,1,5,1.18,662.5
G2,1,6,1.18,737.4
G2,1,7,1.18,812.3
G2,1,8,1.18,887.2
G2,1,9,1.18,962.0
G2,1,10,4.08,1036.93
G2,2,1,1.26,335.4
G2,2,2,1.26,404.6
G2,2,3,1.26,473.8
G2,2,4,1.26,543.0
G2,2,5,1.26,612.3
G2,2,6,1.26,681.5
G2,2,7,1.26,750.7
G2,2,8,1.26,819.9
G2,2,9,1.26,889.1
G2,2,10,3.16,958.31
G2,3,1,1.24,331.6
G2,3,2,1.24,400.0
G2,3,3,1.24,468.4
G2,3,4,1.24,536.8
G2,3,5,1.24,605.3
G2,3,6,1.24,673.7
G2,3,7,1.24,742.1
G2,3,8,1.24,810.5
G2,3,9,1.24,878.9
G2,3,10,3.24,947.35
G2,4,1,1.16,323.3
G2,4,2,1.16,390.0
G2,4,3,1.16,456.7
G2,4,4,1.16,523.4
G2,4,5,1.16,590.1
G2,4,6,1.16,656.8
G2,4,7,1.16,723.5
G2,4,8,1.16,790.2
G2,4,9,1.16,856.9
G2,4,10,3.16,923.59
G2,5,1,1.10,331.8
G2,5,2,1.10,400.2
G2,5,3,1.10,468.7
G2,5,4,1.10,537.1
G2,5,5,1.10,605.6
G2,5,6,1.10,674.1
G2,5,7,1.10,742.5
G2,5,8,1.10,811.0
G2,5,9,1.10,879.4
G2,5,10,2.50,947.9
G2,6,1,1.09,323.3
G2,6,2,1.09,390.0
G2,6,3,1.09,456.7
G2,6,4,1.09,523.4
G2,6,5,1.09,590.1
G2,6,6,1.09,656.8
G2,6,7,1.09,723.5
G2,6,8,1.09,790.2
G2,6,9,1.09,856.9
G2,6,10,3.49,923.59
G2,7,1,1.06,325.1
G2,7,2,1.06,392.1
G2,7,3,1.06,459.2
G2,7,4,1.06,526.3
G2,7,5,1.06,593.4
G2,7,6,1.06,660.4
G2,7,7,1.06,727.5
G2,7,8,1.06,794.6
G2,7,9,1.06,861.7
G2,7,10,3.46,928.74
G2,8,1,1.06,310.9
G2,8,2,1.06,375.0
G2,8,3,1.06,439.2
G2,8,4,1.06,503.3
G2,8,5,1.06,567.5
G2,8,6,1.06,631.7
G2,8,7,1.06,695.8
G2,8,8,1.06,760.0
G2,8,9,1.06,824.1
G2,8,10,3.96,888.26
G2,9,1,1.04,329.5
G2,9,2,1.04,397.5
G2,9,3,1.04,465.5
G2,9,4,1.04,533.5
G2,9,5,1.04,601.5
G2,9,6,1.04,669.4
G2,9,7,1.04,737.4
G2,9,8,1.04,805.4
G2,9,9,1.04,873.4
G2,9,10,3.34,941.41
G2,10,1,1.07,314.2
G2,10,2,1.07,379.1
G2,10,3,1.07,443.9
G2,10,4,1.07,508.7
G2,10,5,1.07,573.6
G2,10,6,1.07,638.4
G2,10,7,1.07,703.2
G2,10,8,1.07,768.1
G2,10,9,1.07,832.9
G2,10,10,2.57,897.75
G2,11,1,1.03,333.1
G2,11,2,1.03,401.8
G2,11,3,1.03,470.5
G2,11,4,1.03,539.2
G2,11,5,1.03,608.0
G2,11,6,1.03,676.7
G2,11,7,1.03,745.4
G2,11,8,1.03,814.1
G2,11,9,1.03,882.9
G2,11,10,2.73,951.58
G2,12,1,1.01,310.7
G2,12,2,1.01,374.9
G2,12,3,1.01,439.0
G2,12,4,1.01,503.1
G2,12,5,1.01,567.2
G2,12,6,1.01,631.4
G2,12,7,1.01,695.5
G2,12,8,1.01,759.6
G2,12,9,1.01,823.7
G2,12,10,3.21,887.84
G2,13,1,0.98,307.4
G2,13,2,0.98,370.9
G2,13,3,0.98,434.3
G2,13,4,0.98,497.7
G2,13,5,0.98,561.2
G2,13,6,0.98,624.6
G2,13,7,0.98,688.0
G2,13,8,0.98,751.5
G2,13,9,0.98,814.9
G2,13,10,3.78,878.34
G2,14,1,0.99,332.6
G2,14,2,0.99,401.2
G2,14,3,0.99,469.8
G2,14,4,0.99,538.4
G2,14,5,0.99,607.1
G2,14,6,0.99,675.7
G2,14,7,0.99,744.3
G2,14,8,0.99,812.9
G2,14,9,0.99,881.5
G2,14,10,4.69,950.17
G2,15,1,1.01,312.8
G2,15,2,1.01,377.3
G2,15,3,1.01,441.8
G2,15,4,1.01,506.4
G2,15,5,1.01,570.9
G2,15,6,1.01,635.4
G2,15,7,1.01,700.0
G2,15,8,1.01,764.5
G2,15,9,1.01,829.1
G2,15,10,4.61,893.59
G2,16,1,1.03,310.6
G2,16,2,1.03,374.7
G2,16,3,1.03,438.8
G2,16,4,1.03,502.9
G2,16,5,1.03,567.0
G2,16,6,1.03,631.1
G2,16,7,1.03,695.2
G2,16,8,1.03,759.3
G2,16,9,1.03,823.4
G2,16,10,4.83,887.47
G2,17,1,1.00,307.0
G2,17,2,1.00,370.4
G2,17,3,1.00,433.7
G2,17,4,1.00,497.1
G2,17,5,1.00,560.4
G2,17,6,1.00,623.8
G2,17,7,1.00,687.1
G2,17,8,1.00,750.5
G2,17,9,1.00,813.8
G2,17,10,4.70,877.18
G2,18,1,0.99,318.8
G2,18,2,0.99,384.6
G2,18,3,0.99,450.4
G2,18,4,0.99,516.2
G2,18,5,0.99,581.9
G2,18,6,0.99,647.7
G2,18,7,0.99,713.5
G2,18,8,0.99,779.3
G2,18,9,0.99,845.1
G2,18,10,5.19,910.86
G2,19,1,1.02,319.9
G2,19,2,1.02,385.9
G2,19,3,1.02,451.9
G2,19,4,1.02,517.9
G2,19,5,1.02,583.9
G2,19,6,1.02,649.9
G2,19,7,1.02,715.9
G2,19,8,1.02,781.9
G2,19,9,1.02,847.9
G2,19,10,6.12,913.92
G2,20,1,1.18,336.7
G2,20,2,1.18,406.1
G2,20,3,1.18,475.6
G2,20,4,1.18,545.1
G2,20,5,1.18,614.5
G2,20,6,1.18,684.0
G2,20,7,1.18,753.5
G2,20,8,1.18,822.9
G2,20,9,1.18,892.4
G2,20,10,5.08,961.86
G2,21,1,1.23,321.9
G2,21,2,1.23,388.3
G2,21,3,1.23,454.7
G2,21,4,1.23,521.1
G2,21,5,1.23,587.5
G2,21,6,1.23,653.9
G2,21,7,1.23,720.4
G2,21,8,1.23,786.8
G2,21,9,1.23,853.2
G2,21,10,4.63,919.61
G2,22,1,1.41,330.4
G2,22,2,1.41,398.5
G2,22,3,1.41,466.7
G2,22,4,1.41,534.9
G2,22,5,1.41,603.1
G2,22,6,1.41,671.2
G2,22,7,1.41,739.4
G2,22,8,1.41,807.6
G2,22,9,1.41,875.7
G2,22,10,4.61,943.92
G2,23,1,1.49,337.6
G2,23,2,1.49,407.2
G2,23,3,1.49,476.9
G2,23,4,1.49,546.5
G2,23,5,1.49,616.2
G2,23,6,1.49,685.9
G2,23,7,1.49,755.5
G2,23,8,1.49,825.2
G2,23,9,1.49,894.8
G2,23,10,3.69,964.49
G2,24,1,1.62,364.3
G2,24,2,1.62,439.5
G2,24,3,1.62,514.7
G2,24,4,1.62,589.8
G2,24,5,1.62,665.0
G2,24,6,1.62,740.2
G2,24,7,1.62,815.4
G2,24,8,1.62,890.6
G2,24,9,1.62,965.7
G2,24,10,5.82,1040.91
G2,25,1,1.70,340.8
G2,25,2,1.70,411.1
G2,25,3,1.70,481.4
G2,25,4,1.70,551.7
G2,25,5,1.70,622.0
G2,25,6,1.70,692.4
G2,25,7,1.70,762.7
G2,25,8,1.70,833.0
G2,25,9,1.70,903.3
G2,25,10,6.00,973.62
G2,26,1,1.87,343.4
G2,26,2,1.87,414.3
G2,26,3,1.87,485.2
G2,26,4,1.87,556.1
G2,26,5,1.87,626.9
G2,26,6,1.87,697.8
G2,26,7,1.87,768.7
G2,26,8,1.87,839.5
G2,26,9,1.87,910.4
G2,26,10,6.67,981.27
G2,27,1,2.05,363.2
