consumer_id,time_slot,segment_no,quantity_mw,price_yuan_per_mwh
C2,1,1,2.85,1574.62
C2,1,2,2.85,1515.3
C2,1,3,2.85,1456.0
C2,1,4,2.85,1396.7
C2,1,5,2.85,1337.4
C2,1,6,2.85,1278.1
C2,1,7,2.85,1218.8
C2,1,8,2.85,1159.5
C2,1,9,2.85,1100.2
C2,1,10,2.85,1040.85
C2,2,1,2.73,1528.39
C2,2,2,2.73,1470.8
C2,2,3,2.73,1413.3
C2,2,4,2.73,1355.7
C2,2,5,2.73,1298.1
C2,2,6,2.73,1240.6
C2,2,7,2.73,1183.0
C2,2,8,2.73,1125.4
C2,2,9,2.73,1067.9
C2,2,10,2.73,1010.3
C2,3,1,2.75,1418.91
C2,3,2,2.75,1365.5
C2,3,3,2.75,1312.0
C2,3,4,2.75,1258.6
C2,3,5,2.75,1205.1
C2,3,6,2.75,1151.7
C2,3,7,2.75,1098.3
C2,3,8,2.75,1044.8
C2,3,9,2.75,991.4
C2,3,10,2.75,937.92
C2,4,1,2.69,1367.03
C2,4,2,2.69,1315.5
C2,4,3,2.69,1264.1
C2,4,4,2.69,1212.6
C2,4,5,2.69,1161.1
C2,4,6,2.69,1109.6
C2,4,7,2.69,1058.1
C2,4,8,2.69,1006.6
C2,4,9,2.69,955.1
C2,4,10,2.69,903.63
C2,5,1,2.69,1481.99
C2,5,2,2.69,1426.2
C2,5,3,2.69,1370.4
C2,5,4,2.69,1314.5
C2,5,5,2.69,1258.7
C2,5,6,2.69,1202.9
C2,5,7,2.69,1147.1
C2,5,8,2.69,1091.3
C2,5,9,2.69,1035.4
C2,5,10,2.69,979.62
C2,6,1,2.68,1445.68
C2,6,2,2.68,1391.2
C2,6,3,2.68,1336.8
C2,6,4,2.68,1282.3
C2,6,5,2.68,1227.9
C2,6,6,2.68,1173.4
C2,6,7,2.68,1119.0
C2,6,8,2.68,1064.5
C2,6,9,2.68,1010.1
C2,6,10,2.68,955.62
C2,7,1,2.67,1400.2
C2,7,2,2.67,1347.5
C2,7,3,2.67,1294.7
C2,7,4,2.67,1242.0
C2,7,5,2.67,1189.2
C2,7,6,2.67,1136.5
C2,7,7,2.67,1083.8
C2,7,8,2.67,1031.0
C2,7,9,2.67,978.3
C2,7,10,2.67,925.55
C2,8,1,2.70,1378.06
C2,8,2,2.70,1326.2
C2,8,3,2.70,1274.3
C2,8,4,2.70,1222.3
C2,8,5,2.70,1170.4
C2,8,6,2.70,1118.5
C2,8,7,2.70,1066.6
C2,8,8,2.70,1014.7
C2,8,9,2.70,962.8
C2,8,10,2.70,910.92
C2,9,1,2.71,1401.68
C2,9,2,2.71,1348.9
C2,9,3,2.71,1296.1
C2,9,4,2.71,1243.3
C2,9,5,2.71,1190.5
C2,9,6,2.71,1137.7
C2,9,7,2.71,1084.9
C2,9,8,2.71,1032.1
C2,9,9,2.71,979.3
C2,9,10,2.71,926.53
C2,10,1,2.71,1395.84
C2,10,2,2.71,1343.3
C2,10,3,2.71,1290.7
C2,10,4,2.71,1238.1
C2,10,5,2.71,1185.5
C2,10,6,2.71,1133.0
C2,10,7,2.71,1080.4
C2,10,8,2.71,1027.8
C2,10,9,2.71,975.2
C2,10,10,2.71,922.67
C2,11,1,2.69,1383.24
C2,11,2,2.69,1331.1
C2,11,3,2.69,1279.0
C2,11,4,2.69,1226.9
C2,11,5,2.69,1174.8
C2,11,6,2.69,1122.7
C2,11,7,2.69,1070.6
