time_slot,power_mw,price_yuan_per_mwh
1,25.8,1615.84
2,25.7,1580.45
3,25.0,1499.68
4,24.7,1437.25
5,24.0,1488.47
6,23.8,1413.26
7,23.3,1395.75
8,23.4,1341.47
9,23.4,1431.41
10,23.5,1411.03
11,22.8,1371.2
12,22.7,1335.45
13,23.2,1443.08
14,22.7,1445.49
15,23.7,1395.93
16,24.1,1406.77
17,23.6,1395.84
18,24.5,1400.75
19,25.0,1419.74
20,26.0,1395.84
21,26.7,1420.02
22,27.5,1449.84
23,28.3,1465.22
24,29.9,1492.36
25,31.6,1476.52
26,33.1,1484.21
27,35.1,1488.38
28,37.0,1459.29
29,38.5,1489.21
30,40.7,1470.5
31,42.6,1395.75
32,43.3,1111.1
33,43.7,1313.86
34,44.9,1185.29
35,44.3,884.62
36,45.0,627.48
37,45.1,1025.23
38,45.9,688.24
39,46.3,447.87
40,47.0,239.17
41,47.7,514.37
42,48.0,256.12
43,47.6,179.52
44,47.9,92.63
45,47.8,376.82
46,46.8,304.85
47,46.2,196.01
48,45.6,113.01
49,46.2,285.12
50,44.7,191.47
51,44.0,159.23
52,43.6,98.84
53,41.5,214.9
54,41.9,161.92
55,41.9,113.56
56,41.6,94.67
57,42.0,191.56
58,41.8,116.07
59,42.5,197.86
60,41.5,297.71
61,41.3,100.5
62,44.0,135.43
63,45.1,280.02
64,44.8,511.69
65,46.0,410.17
66,47.0,700.1
67,45.7,892.4
68,48.0,1294.13
69,45.9,1122.58
70,47.0,1539.23
71,46.2,1766.64
72,47.3,1951.53
73,49.5,1755.34
74,50.2,1969.87
75,51.2,2031.75
76,51.3,2136.79
77,51.2,2229.42
78,51.6,2322.05
79,50.6,2325.29
80,51.7,2322.05
81,51.7,2229.51
82,50.2,2216.17
83,48.3,2224.32
84,47.3,2160.32
85,48.1,2022.95
86,46.5,1987.47
87,44.8,1963.39
88,43.5,1951.62
89,42.5,1987.47
90,41.8,1953.29
91,39.6,1951.53
92,37.6,1929.39
93,35.3,1910.4
94,33.5,1858.81
95,30.6,1746.54
96,28.3,1638.35
