time_slot,power_mw,price_yuan_per_mwh
1,24.9,1803.32
2,24.9,1694.85
3,24.4,1634.46
4,24.2,1595.83
5,23.2,1654.46
6,22.7,1608.89
7,22.1,1567.11
8,22.4,1514.13
9,21.7,1559.7
10,21.9,1543.96
11,21.7,1578.51
12,21.6,1575.08
13,21.8,1543.03
14,21.9,1539.42
15,22.1,1539.51
16,21.9,1512.37
17,22.1,1492.36
18,23.2,1499.59
19,23.6,1515.33
20,24.5,1531.08
21,24.6,1512.46
22,25.3,1516.08
23,26.8,1482.36
24,27.8,1507.18
25,28.8,1566.65
26,30.3,1545.35
27,32.8,1533.03
28,34.7,1351.29
29,34.6,1571.84
30,35.7,1497.55
31,36.9,1396.3
32,39.0,1202.34
33,41.3,1512.37
34,41.4,1386.58
35,43.0,1147.59
36,43.7,965.95
37,45.7,1223.27
38,45.2,959.09
39,47.8,771.33
40,48.1,568.01
41,48.5,770.68
42,46.3,494.37
43,46.3,395.72
44,45.6,276.78
45,45.1,331.89
46,44.7,215.55
47,45.3,217.5
48,46.6,125.7
49,44.8,253.34
50,44.4,154.69
51,44.2,143.67
52,44.0,169.33
53,43.7,175.72
54,42.2,139.22
55,43.4,154.88
56,43.1,188.59
57,43.9,92.63
58,43.4,133.57
59,43.7,201.75
60,42.8,357.83
61,44.2,136.81
62,44.8,238.89
63,45.0,380.89
64,47.1,545.41
65,47.8,333.75
66,49.0,599.87
67,50.4,877.58
68,50.4,1141.94
69,52.4,840.62
70,53.2,1182.98
71,54.8,1469.3
72,55.1,1817.12
73,53.7,1397.14
74,54.8,1616.76
75,54.2,1796.0
76,55.3,1914.66
77,56.1,1775.99
78,56.1,1878.17
79,54.8,1964.5
80,54.9,2186.25
81,55.3,1992.01
82,54.4,1991.08
83,53.6,1953.84
84,52.7,1896.23
85,51.0,1887.52
86,51.1,1878.17
87,49.5,1843.71
88,47.5,1720.05
89,46.0,1882.89
90,44.0,1840.84
91,41.7,1779.05
92,40.4,1646.59
93,38.1,1790.35
94,34.6,1697.54
95,31.7,1630.1
96,29.0,1609.54
