time_slot,power_mw,price_yuan_per_mwh
1,30.4,1106.61
2,29.1,1087.2
3,28.6,1014.15
4,28.2,990.89
5,27.9,1010.3
6,27.6,958.31
7,27.1,973.37
8,27.7,952.25
9,26.8,964.8
10,26.7,929.35
11,26.9,916.61
12,26.7,877.85
13,27.3,915.82
14,27.0,909.51
15,27.5,896.41
16,27.0,865.06
17,26.9,906.94
18,27.6,897.57
19,27.8,908.1
20,28.3,918.51
21,28.8,907.37
22,29.9,948.7
23,30.4,953.53
24,31.6,1056.65
25,32.4,1071.59
26,34.7,1112.79
27,36.5,1117.2
28,38.4,1137.96
29,41.2,1142.8
30,42.9,1150.57
31,45.5,1130.92
32,45.6,1115.43
33,46.3,1142.55
34,48.2,1112.79
35,48.8,1072.14
36,49.7,978.88
37,49.2,1106.61
38,52.1,1052.3
39,53.0,940.13
40,53.4,833.46
41,54.6,994.19
42,51.2,925.61
43,50.3,788.28
44,50.5,679.96
45,51.7,900.94
46,51.4,793.48
47,51.1,710.08
48,49.0,669.98
49,48.9,828.75
50,47.9,727.47
51,48.0,693.8
52,46.7,646.1
53,46.5,666.49
54,46.4,612.36
55,48.3,596.63
56,46.4,627.18
57,46.0,568.52
58,46.3,619.71
59,47.7,647.63
60,48.8,682.04
61,47.9,601.22
62,48.3,663.73
63,49.6,736.05
64,51.1,835.18
65,51.0,673.47
66,51.8,765.68
67,53.1,906.88
68,53.5,1076.48
69,55.2,883.12
70,55.4,1012.99
71,56.3,1112.79
72,57.9,1277.2
73,58.9,1088.18
74,59.5,1162.88
75,60.0,1294.22
76,62.4,1463.27
77,63.7,1240.4
78,61.5,1331.87
79,62.8,1400.33
80,62.7,1504.48
81,62.4,1365.37
82,61.2,1347.12
83,58.7,1331.32
84,58.2,1317.0
85,56.8,1367.2
86,55.6,1310.32
87,52.8,1239.6
88,50.8,1174.21
89,48.9,1259.68
90,47.3,1224.54
91,46.1,1185.29
92,44.1,1139.86
93,42.6,1147.33
94,39.7,1112.79
95,35.5,1106.61
96,31.5,1102.08
