time_slot,power_mw,price_yuan_per_mwh
1,30.5,1695.59
2,31.2,1628.71
3,30.7,1635.2
4,30.1,1528.39
5,29.7,1547.2
6,29.1,1485.32
7,28.0,1495.79
8,27.8,1466.33
9,27.0,1482.08
10,26.8,1440.58
11,27.0,1425.11
12,27.0,1407.79
13,27.2,1421.04
14,28.3,1362.68
15,28.4,1357.77
16,28.1,1398.9
17,28.0,1411.31
18,29.0,1418.07
19,29.6,1388.62
20,30.0,1391.67
21,30.2,1431.23
22,31.4,1455.59
23,32.4,1493.2
24,33.8,1648.63
25,35.2,1695.59
26,37.6,1759.97
27,39.7,1749.04
28,41.4,1757.56
29,42.4,1790.72
30,43.9,1785.07
31,44.8,1754.41
32,46.3,1696.7
33,46.6,1800.08
34,48.6,1713.65
35,47.8,1672.34
36,48.9,1641.59
37,50.1,1686.24
38,49.2,1620.93
39,48.6,1499.31
40,49.7,1487.27
41,49.6,1574.62
42,49.1,1454.66
43,49.9,1447.62
44,49.7,1388.43
45,48.1,1469.95
46,47.8,1350.64
47,48.3,1379.63
48,48.8,1389.36
49,49.1,1334.43
50,49.3,1410.29
51,49.3,1435.67
52,48.8,1325.35
53,47.5,1454.66
54,47.2,1402.79
55,45.7,1454.66
56,45.7,1430.39
57,45.1,1338.78
58,46.7,1424.19
59,45.5,1461.15
60,45.8,1532.84
61,46.3,1389.45
62,46.8,1454.66
63,48.8,1525.99
64,48.3,1622.97
65,49.0,1411.96
66,50.9,1472.35
67,51.6,1635.75
68,53.2,1686.24
69,56.1,1485.88
70,55.7,1599.07
71,59.7,1695.59
72,60.7,1797.11
73,61.6,1760.06
74,61.9,1842.97
75,62.0,1904.66
76,63.3,1991.64
77,61.5,1895.3
78,63.0,1919.57
79,63.1,1944.58
80,63.5,1984.78
81,63.7,2014.61
82,64.3,1984.04
83,61.8,1942.36
84,62.0,1899.01
85,61.0,1933.84
86,59.7,1859.18
87,57.6,1772.48
88,55.9,1695.59
89,53.1,1759.97
90,52.0,1752.74
91,49.6,1686.24
92,48.3,1668.36
93,45.2,1695.59
94,40.9,1659.37
95,37.5,1585.55
96,34.1,1548.31
