time_slot,power_mw,price_yuan_per_mwh
1,26.9,1027.68
2,26.3,980.23
3,26.0,946.06
4,26.0,911.29
5,25.4,938.17
6,25.0,927.21
7,24.6,904.8
8,25.2,890.22
9,23.7,921.76
10,23.6,889.55
11,24.2,883.3
12,24.5,865.55
13,24.1,902.16
14,23.7,886.06
15,23.0,870.02
16,23.0,859.61
17,23.1,878.53
18,23.4,856.18
19,23.9,854.46
20,23.5,847.24
21,25.0,853.91
22,25.5,857.28
23,27.5,1057.5
24,28.4,874.24
25,29.5,868.49
26,30.7,899.84
27,33.3,897.26
28,35.6,850.67
29,36.1,822.99
30,37.8,828.38
31,39.0,738.92
32,40.5,666.37
33,42.8,780.38
34,44.7,588.05
35,45.7,428.18
36,47.0,306.15
37,48.4,386.54
38,49.1,306.15
39,50.3,183.63
40,49.9,32.76
41,49.8,299.97
42,50.5,193.85
43,51.2,30.74
44,50.2,26.76
45,50.9,183.63
46,50.0,98.46
47,49.2,26.27
48,48.1,25.23
49,48.0,61.17
50,46.8,32.51
51,47.8,51.74
52,48.2,34.59
53,48.4,11.14
54,48.9,10.35
55,48.0,61.23
56,48.5,50.15
57,48.2,9.92
58,48.4,21.49
59,47.9,84.62
60,49.8,61.23
61,49.8,27.25
62,50.4,78.74
63,50.3,140.03
64,51.8,296.72
65,53.2,121.6
66,53.6,351.28
67,53.8,617.08
68,54.8,841.36
69,57.0,711.0
70,57.0,857.16
71,57.5,1040.91
72,58.9,1093.32
73,60.6,1034.42
74,61.1,1145.12
75,61.2,1236.97
76,61.5,1259.81
77,61.8,1142.92
78,61.2,1217.5
79,62.5,1218.17
80,61.0,1261.4
81,61.2,1229.31
82,60.3,1229.68
83,58.9,1206.9
84,57.9,1160.19
85,57.3,1200.84
86,54.1,1166.06
87,52.9,1163.37
88,52.5,1101.47
89,50.6,1149.96
90,49.1,1154.74
91,46.8,1102.2
92,44.9,1121.49
93,42.4,1093.32
94,40.0,1087.14
95,35.9,1068.16
96,32.1,1068.34
