time_slot,power_mw,price_yuan_per_mwh
1,29.4,1079.3
2,28.9,1055.48
3,28.1,1000.62
4,26.9,983.9
5,26.2,1000.01
6,26.6,967.01
7,26.5,943.19
8,26.6,926.23
9,25.5,949.92
10,25.7,918.45
11,25.9,918.39
12,26.3,908.78
13,25.8,886.92
14,25.8,881.34
15,25.1,880.61
16,25.1,880.24
17,25.1,863.65
18,25.7,887.77
19,26.5,906.27
20,26.3,911.29
21,27.2,872.28
22,29.0,895.67
23,30.3,926.23
24,31.5,1030.38
25,32.7,1003.5
26,34.4,1069.14
27,36.3,1079.3
28,37.4,1074.95
29,39.2,1128.47
30,40.8,1107.1
31,43.2,1085.49
32,44.1,1040.91
33,45.3,1085.49
34,46.5,1039.44
35,48.0,972.94
36,48.4,894.94
37,48.7,964.13
38,49.4,909.57
39,49.4,795.93
40,51.2,743.94
41,49.8,813.44
42,50.0,836.4
43,49.4,772.05
44,49.7,676.35
45,48.6,801.13
46,49.5,668.33
47,49.0,631.28
48,48.4,542.01
49,47.9,647.02
50,46.7,539.19
51,48.5,505.64
52,47.2,489.84
53,47.2,566.13
54,46.1,568.7
55,45.1,575.01
56,45.3,612.24
57,46.0,534.91
58,47.2,536.31
59,47.3,612.24
60,48.6,658.04
61,49.1,571.21
62,49.4,688.72
63,50.6,748.9
64,51.0,780.56
65,50.7,612.73
66,51.3,792.38
67,53.0,919.55
68,53.9,1069.99
69,53.9,857.16
70,55.3,1004.05
71,57.1,1093.32
72,55.7,1209.6
73,56.9,1127.8
74,59.1,1079.3
75,58.5,1085.49
76,60.2,1130.31
77,60.8,1100.43
78,59.5,1157.61
79,59.9,1178.68
80,60.3,1183.82
81,58.4,1232.31
82,57.1,1205.56
83,55.3,1162.45
84,54.2,1102.14
85,56.5,1079.3
86,54.4,1043.91
87,54.7,1049.6
88,51.9,1029.89
89,48.8,1023.4
90,48.5,1075.26
91,47.1,1031.3
92,43.8,968.66
93,41.5,1051.93
94,37.8,985.37
95,34.7,954.15
96,31.5,922.86
