time_slot,power_mw,price_yuan_per_mwh
1,26.0,1100.0
2,25.6,1039.13
3,25.4,1005.52
4,25.0,1002.21
5,24.5,1036.62
6,24.2,981.33
7,23.3,951.15
8,23.8,921.88
9,23.3,961.31
10,23.4,935.41
11,23.2,928.25
12,23.0,894.39
13,23.5,876.2
14,23.2,874.06
15,23.3,873.51
16,23.2,879.08
17,23.4,890.47
18,23.5,894.26
19,23.8,907.43
20,23.8,918.88
21,24.9,898.92
22,25.3,928.55
23,26.8,959.6
24,27.5,968.29
25,28.6,963.76
26,30.2,959.35
27,31.5,940.0
28,33.8,905.65
29,34.8,949.68
30,35.3,909.39
31,36.5,869.1
32,38.5,828.69
33,40.4,836.89
34,40.5,749.33
35,41.7,592.77
36,42.1,433.02
37,43.1,528.72
38,42.8,328.74
39,43.5,290.23
40,44.3,61.23
41,44.5,374.54
42,43.2,302.84
43,43.7,177.38
44,44.3,155.77
45,43.9,326.42
46,43.3,250.92
47,42.3,215.71
48,41.6,194.71
49,40.4,308.78
50,41.3,167.83
51,40.3,282.39
52,40.7,253.43
53,40.0,304.56
54,40.3,384.03
55,41.1,268.13
56,39.5,250.31
57,39.1,286.19
58,39.8,290.23
59,40.8,282.09
60,40.7,343.44
61,41.4,357.46
62,41.5,410.06
63,41.2,460.94
64,42.7,527.62
65,44.1,580.52
66,45.2,689.82
67,46.0,827.4
68,46.5,1029.83
69,48.7,906.14
70,50.1,1084.02
71,50.1,1211.13
72,50.7,1340.02
73,52.0,1162.33
74,52.0,1256.07
75,53.3,1356.31
76,54.8,1411.6
77,56.4,1331.14
78,56.6,1393.72
79,57.7,1405.66
80,57.9,1416.98
81,57.8,1410.25
82,55.6,1412.09
83,56.9,1392.37
84,54.0,1340.69
85,52.7,1380.61
86,50.9,1334.39
87,49.7,1285.34
88,49.6,1250.68
89,46.7,1329.73
90,45.0,1300.4
91,44.1,1243.95
92,40.9,1229.25
93,39.5,1280.26
94,36.7,1211.13
95,33.1,1208.62
96,30.0,1179.29
