time_slot,power_mw,price_yuan_per_mwh
1,27.6,1624.73
2,27.1,1597.68
3,27.2,1525.34
4,26.9,1505.79
5,25.9,1569.99
6,25.6,1528.3
7,24.9,1484.49
8,25.1,1456.61
9,24.8,1510.05
10,25.6,1490.23
11,25.1,1446.42
12,25.7,1435.67
13,25.3,1434.56
14,25.3,1418.91
15,25.3,1420.3
16,25.7,1435.67
17,25.9,1398.99
18,26.4,1430.11
19,26.2,1441.79
20,27.1,1456.61
21,27.4,1476.89
22,27.6,1574.71
23,29.1,1623.8
24,30.8,1697.54
25,32.1,1713.75
26,33.5,1799.8
27,35.5,1846.39
28,38.3,1814.07
29,40.3,1801.56
30,42.0,1884.37
31,43.7,1813.14
32,45.4,1710.14
33,48.2,1697.54
34,49.3,1654.74
35,50.6,1489.4
36,51.8,1351.01
37,53.1,1618.34
38,52.2,1528.3
39,53.3,1212.99
40,54.4,882.21
41,54.2,1389.45
42,53.6,1198.82
43,53.6,1065.15
44,52.9,917.31
45,53.3,1214.66
46,52.7,1183.72
47,51.4,1177.7
48,51.2,1066.08
49,51.6,1178.16
50,49.9,1092.48
51,49.9,1121.84
52,49.6,1098.68
53,48.7,1262.82
54,49.2,1203.08
55,47.6,1248.19
56,47.5,1296.73
57,48.5,1065.15
58,49.0,1194.65
59,49.5,1376.94
60,50.1,1437.43
61,49.6,1067.75
62,50.9,1232.81
63,51.9,1385.84
64,52.4,1687.44
65,53.0,1371.2
66,54.5,1522.84
67,54.3,1614.54
68,57.2,1697.54
69,57.0,1608.15
70,57.5,1732.0
71,58.0,1869.64
72,58.8,2064.17
73,59.7,1817.77
74,60.6,1991.64
75,62.4,2037.95
76,61.7,2176.9
77,62.0,1919.39
78,61.0,1981.45
79,61.6,2035.36
80,61.4,1991.54
81,61.8,2049.44
82,60.8,2002.94
83,58.6,1882.8
84,58.3,1771.09
85,56.4,1997.01
86,55.2,1931.24
87,53.3,1884.19
88,52.1,1783.13
89,51.1,1854.92
90,50.0,1782.76
91,47.4,1697.54
92,44.5,1713.65
93,44.8,1713.56
94,40.8,1681.05
95,37.3,1638.35
96,33.2,1574.8
