time_slot,power_mw,price_yuan_per_mwh
1,31.5,1100.73
2,31.0,1040.97
3,30.2,984.52
4,29.6,956.41
5,29.1,1015.07
6,28.5,969.7
7,27.8,942.64
8,28.1,917.04
9,27.9,931.68
10,27.1,915.14
11,28.1,912.69
12,28.2,902.65
13,28.2,895.73
14,27.6,901.86
15,27.8,907.98
16,28.2,908.78
17,28.1,903.39
18,28.7,906.02
19,29.9,921.51
20,31.2,964.92
21,31.8,952.92
22,33.1,971.66
23,34.2,1009.19
24,35.7,1054.81
25,37.8,1100.73
26,39.5,1113.22
27,42.4,1106.18
28,43.3,1084.69
29,45.5,1239.17
30,48.1,1125.1
31,50.5,1058.24
32,51.6,988.44
33,53.1,1141.69
34,55.0,1064.67
35,55.0,979.62
36,55.0,835.05
37,58.1,1112.06
38,58.8,876.94
39,58.6,754.23
40,58.1,639.12
41,59.4,863.4
42,60.9,742.72
43,60.6,628.59
44,58.7,508.33
45,59.6,627.24
46,57.9,532.82
47,59.6,439.14
48,57.0,382.69
49,57.0,483.04
50,56.3,367.62
51,54.1,400.57
52,53.8,404.73
53,53.2,401.3
54,52.9,406.93
55,52.7,427.26
56,52.9,425.36
57,51.5,378.46
58,51.6,406.87
59,51.2,443.61
60,51.9,492.66
61,52.3,410.42
62,52.4,486.96
63,53.2,572.13
64,53.8,755.09
65,54.8,415.2
66,57.3,580.77
67,57.6,754.66
68,58.0,1016.97
69,57.3,676.53
70,57.4,823.67
71,58.4,1104.1
72,59.9,1259.99
73,60.4,1020.95
74,60.7,1208.5
75,61.4,1289.81
76,61.7,1508.95
77,60.8,1428.99
78,61.0,1552.98
79,61.1,1648.5
80,61.1,1843.57
81,61.4,1856.55
82,61.3,1836.96
83,59.6,1714.5
84,60.8,1596.33
85,60.5,1755.59
86,58.0,1591.92
87,57.5,1417.41
88,55.8,1281.48
89,54.3,1355.69
90,52.2,1301.08
91,51.5,1250.87
92,50.3,1224.54
93,48.5,1253.81
94,43.3,1187.49
95,40.6,1100.73
96,36.0,1054.93
