time_slot,power_mw,price_yuan_per_mwh
1,27.2,1632.79
2,27.1,1596.76
3,26.3,1513.76
4,25.8,1488.47
5,25.8,1512.83
6,25.4,1462.91
7,25.6,1426.87
8,25.4,1401.21
9,25.1,1437.06
10,25.4,1389.45
11,24.3,1389.36
12,23.5,1374.81
13,23.7,1341.75
14,24.3,1333.32
15,23.8,1332.2
16,23.9,1331.65
17,23.5,1306.55
18,24.6,1343.04
19,24.2,1371.02
20,24.5,1378.61
21,25.2,1319.61
22,26.7,1354.99
23,27.9,1401.21
24,29.5,1558.78
25,30.7,1518.11
26,32.9,1617.41
27,35.1,1632.79
28,37.1,1626.21
29,38.8,1707.17
30,39.7,1674.84
31,40.5,1642.14
32,41.6,1574.71
33,43.2,1642.14
34,43.4,1572.49
35,44.9,1471.89
36,45.1,1353.88
37,47.0,1458.55
38,47.6,1376.02
39,47.1,1204.1
40,47.4,1125.45
41,48.8,1230.59
42,49.1,1265.33
43,49.6,1167.97
44,49.3,1023.19
45,50.3,1211.97
46,48.6,1011.06
47,46.4,955.02
48,46.8,819.96
49,47.7,978.82
50,47.5,815.7
51,46.4,764.94
52,45.1,741.04
53,44.4,856.46
54,45.9,860.35
55,46.4,869.89
56,46.4,926.21
57,44.8,809.22
58,46.1,811.35
59,47.3,926.21
60,48.0,995.49
61,50.0,864.15
62,50.9,1041.9
63,50.0,1132.96
64,50.6,1180.85
65,50.6,926.95
66,52.6,1198.72
67,51.2,1391.12
68,52.6,1618.71
69,52.9,1296.73
70,52.3,1518.95
71,53.7,1654.0
72,53.6,1829.91
73,54.9,1706.15
74,54.3,1632.79
75,55.2,1642.14
76,54.0,1709.95
77,56.3,1664.75
78,56.4,1751.26
79,55.2,1783.13
80,55.7,1790.91
81,53.9,1864.27
82,53.0,1823.79
83,52.2,1758.58
84,52.0,1667.34
85,51.4,1632.79
86,50.2,1579.25
87,51.4,1587.86
88,49.6,1558.04
89,48.1,1548.22
90,46.2,1626.68
91,45.4,1560.17
92,42.6,1465.41
93,41.0,1591.38
94,38.3,1490.69
95,35.3,1443.45
96,31.3,1396.12
