time_slot,power_mw,price_yuan_per_mwh
1,27.8,1158.78
2,28.1,1069.63
3,27.0,1038.4
4,27.5,1021.5
5,26.4,1040.91
6,26.4,1016.36
7,25.4,992.11
8,25.3,973.43
9,25.4,994.68
10,24.5,975.52
11,24.2,964.13
12,24.2,958.43
13,24.2,973.99
14,25.1,970.62
15,24.9,965.54
16,25.3,964.43
17,25.1,964.01
18,25.2,966.82
19,26.2,967.56
20,26.9,968.96
21,27.5,965.78
22,28.9,978.27
23,30.4,990.27
24,32.1,985.19
25,32.5,1001.42
26,33.9,1013.48
27,36.4,997.44
28,37.9,924.94
29,39.3,995.54
30,40.9,941.78
31,42.5,865.73
32,44.1,795.99
33,45.5,970.74
34,45.9,861.14
35,47.0,783.99
36,47.5,675.92
37,48.1,810.87
38,47.5,655.04
39,48.5,502.64
40,49.6,362.73
41,50.8,398.06
42,50.9,288.88
43,50.1,205.49
44,49.5,61.29
45,48.4,230.1
46,48.5,142.05
47,47.0,122.46
48,45.8,72.99
49,45.1,226.31
50,45.6,72.99
51,44.7,68.76
52,44.4,61.29
53,43.6,91.91
54,44.3,113.46
55,43.4,74.33
56,43.3,72.99
57,42.6,61.23
58,42.0,72.99
59,42.2,118.24
60,43.7,183.75
61,45.0,61.29
62,45.6,128.64
63,46.0,235.18
64,48.4,366.95
65,47.3,216.94
66,48.7,416.85
67,51.0,567.72
68,53.2,829.24
69,53.9,512.8
70,54.2,795.99
71,53.6,1014.34
72,52.7,1205.07
73,54.3,853.0
74,54.5,1057.81
75,53.9,1210.88
76,52.3,1269.48
77,53.8,1130.18
78,53.3,1210.88
79,53.7,1224.72
80,53.2,1269.79
81,53.6,1272.42
82,54.2,1270.64
83,51.4,1266.6
84,50.4,1242.54
85,50.0,1217.07
86,49.5,1210.88
87,49.2,1168.33
88,46.2,1109.43
89,46.1,1185.29
90,45.1,1136.12
91,43.6,1077.77
92,41.5,1057.81
93,40.9,1141.02
94,37.4,1044.28
95,33.8,1010.36
96,31.1,979.68
