time_slot,power_mw,price_yuan_per_mwh
1,24.4,1554.7
2,24.4,1482.91
3,24.2,1431.23
4,24.0,1378.61
5,23.6,1419.28
6,23.2,1402.7
7,22.7,1368.79
8,22.8,1346.75
9,22.7,1394.45
10,22.7,1345.73
11,23.0,1336.28
12,22.5,1309.42
13,22.8,1364.81
14,22.7,1340.45
15,22.8,1316.18
16,23.1,1300.43
17,23.7,1329.06
18,24.3,1295.25
19,25.4,1292.65
20,25.7,1281.72
21,25.7,1291.82
22,26.7,1296.91
23,27.9,1599.81
24,29.1,1322.57
25,30.5,1313.86
26,31.8,1361.29
27,33.8,1357.4
28,35.4,1286.91
29,36.9,1245.04
30,38.4,1253.19
31,40.0,1117.86
32,41.0,1008.09
33,43.2,1180.57
34,43.5,889.62
35,45.0,647.76
36,46.8,463.15
37,48.3,584.77
38,48.3,463.15
39,48.3,277.8
40,47.6,49.56
41,48.9,453.79
42,48.3,293.27
43,46.9,46.5
44,46.6,40.48
45,46.9,277.8
46,47.3,148.95
47,47.5,39.74
48,45.3,38.16
49,46.0,92.54
50,45.6,49.19
51,44.9,78.27
52,44.7,52.34
53,45.1,16.86
54,44.4,15.65
55,44.6,92.63
56,44.4,75.86
57,43.9,15.01
58,44.2,32.51
59,44.4,128.01
60,44.8,92.63
61,45.5,41.22
62,46.3,119.12
63,46.9,211.84
64,47.2,448.88
65,47.6,183.96
66,48.8,531.42
67,49.7,933.53
68,50.1,1272.83
69,51.7,1075.62
70,53.9,1296.73
71,53.9,1574.71
72,54.6,1654.0
73,56.5,1564.89
74,55.4,1732.37
75,56.1,1871.31
76,56.1,1905.86
77,56.5,1729.03
78,56.2,1841.85
79,54.5,1842.87
80,55.4,1908.27
81,54.8,1859.73
82,52.5,1860.29
83,51.0,1825.83
84,49.0,1755.15
85,48.0,1816.66
86,46.1,1764.05
87,44.4,1759.97
88,43.5,1666.32
89,41.5,1739.68
90,41.0,1746.91
91,38.3,1667.43
92,37.2,1696.61
93,33.8,1654.0
94,32.8,1644.65
95,29.7,1615.93
96,26.6,1616.21
