time_slot,power_mw,price_yuan_per_mwh
1,24.1,1670.4
2,23.6,1623.71
3,23.5,1574.71
4,23.5,1468.19
5,23.3,1482.17
6,23.4,1429.47
7,23.3,1384.82
8,23.5,1321.46
9,22.9,1394.45
10,23.4,1389.45
11,23.0,1360.46
12,23.4,1343.23
13,23.1,1347.4
14,23.9,1343.23
15,24.0,1321.09
16,23.8,1328.31
17,23.1,1298.12
18,23.7,1309.6
19,24.5,1329.7
20,25.3,1322.11
21,24.8,1294.6
22,25.3,1338.04
23,26.3,1375.65
24,27.5,1462.16
25,28.5,1429.47
26,29.2,1464.2
27,30.7,1442.62
28,32.4,1429.47
29,34.2,1471.43
30,37.3,1422.43
31,38.4,1319.88
32,40.1,1138.05
33,41.9,1306.64
34,43.1,1238.74
35,44.1,972.61
36,44.7,879.98
37,46.0,934.08
38,47.8,824.78
39,48.2,693.71
40,48.6,754.19
41,48.2,744.37
42,48.4,787.26
43,47.9,896.47
44,47.6,873.78
45,47.3,879.89
46,46.8,847.1
47,45.6,839.69
48,44.5,860.63
49,44.6,747.43
50,45.1,701.95
51,44.5,573.47
52,43.5,764.66
53,42.8,928.89
54,42.3,740.95
55,43.2,563.1
56,43.3,405.07
57,43.9,743.54
58,43.2,590.24
59,44.3,555.69
60,43.2,324.2
61,44.5,595.98
62,44.2,636.74
63,44.0,698.8
64,46.7,794.21
65,47.6,617.84
66,48.3,948.35
67,49.6,1164.54
68,50.6,1462.16
69,51.9,1271.16
70,52.9,1429.47
71,52.1,1661.04
72,51.7,1739.31
73,55.0,1287.37
74,54.9,1454.75
75,56.0,1652.8
76,55.7,1670.4
77,54.8,1661.78
78,55.6,1706.52
79,55.0,1726.16
80,53.3,1754.5
81,53.7,1682.62
82,51.3,1690.03
83,51.3,1670.4
84,51.0,1275.05
85,49.4,1674.29
86,48.4,1670.4
87,48.1,1624.82
88,46.0,1575.82
89,45.1,1663.36
90,42.3,1656.13
91,42.2,1587.03
92,40.9,1534.32
93,39.1,1595.27
94,35.4,1531.27
95,32.3,1438.54
96,29.5,1378.89
