time_slot,power_mw,price_yuan_per_mwh
1,31.5,1110.59
2,31.3,1075.81
3,30.9,1025.54
4,30.5,959.35
5,30.5,1010.66
6,30.2,999.52
7,29.9,979.62
8,29.5,950.47
9,29.2,979.68
10,28.4,979.62
11,27.5,952.49
12,27.6,930.82
13,27.2,940.43
14,27.6,949.0
15,27.3,945.57
16,26.7,943.31
17,26.4,920.9
18,26.6,910.06
19,26.8,922.12
20,27.6,949.86
21,29.2,959.54
22,30.0,979.68
23,31.9,1040.85
24,32.5,1120.26
25,33.3,1052.85
26,35.6,1106.06
27,37.2,1133.12
28,38.9,1164.1
29,40.8,1172.98
30,41.7,1147.08
31,44.9,1156.39
32,46.2,1131.53
33,47.1,1207.88
34,47.7,1176.11
35,49.1,1128.96
36,49.7,1047.52
37,51.6,1170.29
38,51.8,1057.63
39,52.6,997.93
40,53.5,982.93
41,54.1,1035.03
42,55.1,1015.13
43,55.4,956.96
44,55.5,862.61
45,55.3,945.15
46,55.5,956.05
47,54.1,888.32
48,53.1,835.3
49,53.1,868.43
50,53.1,861.57
51,51.9,857.16
52,51.5,835.05
53,51.1,826.54
54,51.4,827.58
55,49.1,832.12
56,49.3,798.13
57,47.6,783.62
58,47.8,774.38
59,48.1,834.2
60,49.5,905.47
61,50.0,790.6
62,51.5,862.67
63,51.4,918.69
64,52.3,947.29
65,53.1,848.22
66,53.4,896.53
67,55.9,979.68
68,55.3,1107.83
69,56.0,921.82
70,57.5,1049.91
71,57.1,1137.16
72,59.1,1267.58
73,59.2,1040.91
74,60.2,1148.25
75,61.4,1249.58
76,60.3,1300.16
77,60.8,1284.42
78,60.5,1305.36
79,61.6,1347.12
80,61.2,1384.35
81,59.8,1368.49
82,58.0,1327.9
83,58.8,1306.34
84,56.5,1306.1
85,55.6,1389.43
86,55.2,1314.91
87,54.0,1300.16
88,50.7,1205.01
89,50.4,1300.16
90,48.0,1210.21
91,46.8,1165.7
92,45.0,1102.2
93,44.6,1173.04
94,40.9,1128.9
95,37.1,1077.95
96,33.7,1028.54
